query_id,fixture_id,atom_type,subject,predicate,object,source_path,source_blob,start_byte,end_byte,status
Q1,F-EXEC-WP12,reference,exec:WP12,implements,exec:FR-015,kitty-specs/execution-context-unification-01KTPKST/tasks/WP12-sync-daemon-singleton-reaper.md,1d1d9456e8545b1366a5b87b30a31e7fa4554941,122,130,asserted
Q1,F-EXEC-WP12,verdict,exec:WP12,review_verdict,approved,kitty-specs/execution-context-unification-01KTPKST/tasks/WP12-sync-daemon-singleton-reaper/review-cycle-2.md,0073c6d298182bb180a895db3670369f6d30e28f,182,199,asserted
Q1,F-EXEC-WP12,proof,exec:WP12,pytest_result,8 passed:SC-7_3-to-1-collapse,kitty-specs/execution-context-unification-01KTPKST/tasks/WP12-sync-daemon-singleton-reaper/review-cycle-2.md,0073c6d298182bb180a895db3670369f6d30e28f,2611,2793,asserted
Q1,F-EXEC-WP12,acceptance,exec:mission,accepted_at,2026-06-10T05:45:00.743647+00:00,kitty-specs/execution-context-unification-01KTPKST/meta.json,f33744f93151e2f1b48e3e002b914d1e50b2d1f1,395,444,asserted
Q2,F-WORKTREE-WP02,dependency,worktree:WP02,depends_on,worktree:WP01,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,93,99,asserted
Q2,F-WORKTREE-WP02,constraint,worktree:WP02,merge_target,fix/worktree-owned-root-3328-v2,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,233,285,asserted
Q3,F-WORKTREE-WP02,reference,worktree:FR-001,implemented_by,worktree:WP02,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,118,126,asserted
Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,src/specify_cli/cli/commands/agent/mission_create.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,959,1013,asserted
Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,src/specify_cli/core/mission_creation.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,1014,1056,asserted
Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,src/mission_runtime/__init__.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,1057,1090,asserted
Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,tests/mission_runtime/test_create_time_write_target.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,1181,1237,asserted
Q4,F-GATE-PREPLAN,decision,gate-read:plan,sizing_verdict,one mission; two explicit lanes,kitty-specs/gate-read-surface-completion-01KVW9B0/research/priti-preplan.md,009d6b0b4ca4f6fcc3d05c4ea91214ec151e9e2c,348,401,asserted
Q4,F-GATE-PREPLAN,support,gate-read:lane-a,root_cause,#2107 at mission.py:2203-2224,kitty-specs/gate-read-surface-completion-01KVW9B0/research/priti-preplan.md,009d6b0b4ca4f6fcc3d05c4ea91214ec151e9e2c,594,663,asserted
Q4,F-GATE-PREPLAN,countercase,gate-read:split,cost,extra mission overhead for 3-5 tests and one fixture re-pin,kitty-specs/gate-read-surface-completion-01KVW9B0/research/priti-preplan.md,009d6b0b4ca4f6fcc3d05c4ea91214ec151e9e2c,1531,1628,asserted
Q5,F-EXEC-LIFECYCLE,requirement_status,exec:FR-015,status,Draft,kitty-specs/execution-context-unification-01KTPKST/spec.md,3939953cbac1cb281e5096990c6246ba31d8d62a,7314,7860,asserted
Q5,F-EXEC-LIFECYCLE,mission_status,exec:mission,accepted_at,2026-06-10T05:45:00.743647+00:00,kitty-specs/execution-context-unification-01KTPKST/meta.json,f33744f93151e2f1b48e3e002b914d1e50b2d1f1,395,444,asserted
Q6,F-ID-COLLISION,identity,repo:test-suite-friction:FR-001,label,FR-001,kitty-specs/test-suite-friction-remediation-01KXDKBX/spec.md,00000ab01c1180d045ce601588555f0ecad6dc81,6322,6351,asserted
Q6,F-ID-COLLISION,identity,repo:worktree-owned-root:FR-001,label,FR-001,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,118,126,asserted
Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,tests/agent/test_agent_feature.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,1091,1126,asserted
Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,tests/architectural/test_mission_runtime_surface.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,1127,1180,asserted
